SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family
Fis-22720,16,Epinephelus,itajara,Atlantic goliath grouper,254,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-22721,17,Epinephelus,morio,Red grouper,250,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-22722,18,Epinephelus,striatus,Nassau grouper,181,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-29302,19,Balistes,vetula,Queen triggerfish,385,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae
Fis-29289,20,Argentina,sphyraena,Argentine,640,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae
Fis-22718,21,Benthosema,glaciale,Glacier lantern fish,1206,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-29314,22,Callionymus,reticulatus,Reticulated dragonet,308,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-29313,23,Callionymus,lyra,Dragonet,880,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-29344,24,Clupea,harengus,Atlantic herring,2140,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae
Fis-3399,25,Gadiculus,thori,,32,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae
Fis-22723,26,Glyptocephalus,cynoglossus,Witch flounder,1357,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae
Fis-22724,27,Lepidorhombus,boscii,Four-spot megrim,235,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae
Fis-22725,28,Lepidorhombus,whiffiagonis,Megrim,666,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae
Fis-22726,29,Merlangius,merlangus,Whiting,938,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae
Fis-22727,30,Merluccius,merluccius,European hake,856,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae
Fis-22729,31,Micromesistius,poutassou,Blue whiting,693,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae
Fis-22728,32,Microchirus,variegatus,Thickback sole,497,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae
Fis-22730,33,Molva,molva,Ling,638,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae
Fis-22732,34,Pollachius,pollachius,Pollack,515,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae
Fis-22711,35,Anguilla,anguilla,European eel,1114,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae
Fis-22710,36,Agonus,cataphractus,Hooknose,617,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae
Fis-29267,37,Ammodytes,marinus,Lesser sand-eel,372,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae
Fis-29269,38,Ammodytes,tobianus,Small sandeel,475,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae
Fis-22712,39,Aphia,minuta,Transparent goby,244,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-29291,40,Argyropelecus,affinis,Pacific hatchet fish,748,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae
Fis-22714,41,Arnoglossus,laterna,Mediterranean scaldfish,631,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae
Fis-22713,42,Arnoglossus,imperialis,Imperial scaldfish,450,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae
Fis-29297,43,Arnoglossus,thori,Thor's scaldfish,118,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae
Fis-22715,44,Chelidonichthys,cuculus,Red gurnard,672,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae
Fis-29300,45,Atherina,presbyter,Sand smelt,137,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae
Fis-139729,46,Melanolagus,bericoides,Bigscale deepsea smelt,476,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae
Fis-22717,47,Belone,belone,Garfish,376,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae
Fis-22731,48,Parablennius,gattorugine,Tompot blenny,262,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae
Fis-29304,49,Blennius,ocellaris,Butterfly blenny,183,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae
Fis-22740,51,Brosme,brosme,Cusk,436,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae
Fis-22741,52,Buenia,jeffreysii,Jeffrey's goby,74,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-29372,4,Engraulis,ringens,Anchoveta,63,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae
Fis-22701,5,Orthopristis,chrysoptera,Pigfish,219,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae
Fis-22215,6,Coryphaena,hippurus,Common dolphinfish,13157,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae
