SpeciesID,howComm,Genus,Species,FBname,direction
Fis-52346,43.58,Woodsia,nonsuchae,Bigeye lightfish,lost
Fis-52942,43.02,Lestidiops,indopacifica,Indo-Pacific barracudina,lost
Fis-52739,41.14,Eustomias,ioani,NA,lost
W-Bra-183339,41.06,Pelagodiscus,atlanticus,NA,lost
Fis-149908,41,Eustomias,cryptobulbus,Hiddenbulb dragonfish,lost
Fis-23199,40.71,Odontaspis,noronhai,Bigeye sand tiger shark,lost
Fis-139599,39.29,Nannobrachium,idostigma,NA,lost
Fis-50455,39.24,Dysalotus,oligoscolus,NA,lost
Fis-31242,38.91,Scopelengys,tristis,Pacific blackchin,lost
Fis-34639,38.91,Serrivomer,sector,Sawtooth eel,lost
Fis-144660,38.83,Eustomias,bimargaritoides,NA,lost
Fis-50466,36.52,Kali,macrura,NA,lost
Fis-31254,36.3,Stomias,atriventer,Black-belly dragonfish,lost
Fis-31577,36.3,Megachasma,pelagios,Megamouth shark,lost
Fis-159076,35.8,Aulotrachichthys,prosthemius,West Pacific luminous roughy,lost
Fis-47542,35.06,Astronesthes,fedorovi,NA,lost
ITS-551544,34.73,Gennadas,incertus,NA,lost
Fis-34812,33.63,Eustomias,macrurus,Yellowstem dragonfish,lost
Fis-24386,33.19,Triphoturus,mexicanus,Mexican lampfish,lost
Fis-33748,32.86,Asquamiceps,velaris,Fanfin smooth-head,lost
Fis-28436,32.51,Pterycombus,petersii,Prickly fanfish,lost
SLB-69383,31.51,Chlamys,lowei,NA,lost
W-Msc-344560,31.51,Costentalina,pacifica,NA,lost
ITS-Mam-180526,30.56,Balaenoptera,borealis,sei whale,lost
Fis-50127,30.18,Diaphus,parri,Parr's lanternfish,lost
Fis-24539,30.12,Desmodema,polystictum,Polka-dot ribbonfish,lost
Fis-31237,29.990000000000002,Ectreposebastes,imus,Midwater scorpionfish,lost
Fis-28451,29.37,Decapterus,muroadsi,Amberstripe scad,lost
Fis-62376,29.37,Vinciguerria,lucetia,Panama lightfish,lost
Fis-142431,29.080000000000002,Bathophilus,altipinnis,NA,lost
ITS-551539,29.08,Benthesicymus,urinator,NA,lost
Fis-31243,29.04,Exocoetus,monocirrhus,Barbel flyingfish,lost
