Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acetes,chinensis,18.75,108.25,1110:488:3,0.01
Acetes,chinensis,18.75,108.75,1110:488:4,0.04
Acetes,chinensis,18.25,109.25,1110:489:1,0.02
Acetes,chinensis,18.25,109.75,1110:489:2,0.04
Acetes,chinensis,19.25,108.75,1110:498:2,0.08
Acetes,chinensis,19.75,108.75,1110:498:4,0.12
Acetes,chinensis,19.75,109.25,1110:499:3,0.16
Acetes,chinensis,19.75,109.75,1110:499:4,0.11
Acetes,chinensis,18.25,110.25,1111:380:1,0.02
Acetes,chinensis,18.75,110.25,1111:380:3,0.08
Acetes,chinensis,18.75,110.75,1111:380:4,0.05
Acetes,chinensis,19.25,110.75,1111:390:2,0.13
Acetes,chinensis,19.75,110.25,1111:390:3,0.04
Acetes,chinensis,19.25,111.25,1111:391:1,0.05
Acetes,chinensis,19.25,111.75,1111:391:2,0.03
Acetes,chinensis,19.75,111.25,1111:391:3,0.14
Acetes,chinensis,19.75,111.75,1111:391:4,0.04
Acetes,chinensis,19.25,112.25,1111:392:1,0.02
Acetes,chinensis,19.75,112.75,1111:392:4,0.01
Acetes,chinensis,20.25,107.25,1210:207:1,0.19
Acetes,chinensis,21.25,107.25,1210:217:1,0.11
Acetes,chinensis,20.25,111.75,1211:101:2,0.08
Acetes,chinensis,20.75,111.75,1211:101:4,0.17
Acetes,chinensis,20.25,112.75,1211:102:2,0.03
Acetes,chinensis,20.75,112.25,1211:102:3,0.13
Acetes,chinensis,20.75,112.75,1211:102:4,0.12
Acetes,chinensis,20.25,113.25,1211:103:1,0.01
Acetes,chinensis,20.75,113.25,1211:103:3,0.11
Acetes,chinensis,20.25,114.75,1211:104:2,0.03
Acetes,chinensis,20.75,114.25,1211:104:3,0.05
Acetes,chinensis,20.75,114.75,1211:104:4,0.04
Acetes,chinensis,21.25,113.25,1211:113:1,0.18
Acetes,chinensis,21.25,113.75,1211:113:2,0.05
Acetes,chinensis,21.75,113.25,1211:113:3,0.18
Acetes,chinensis,21.75,113.75,1211:113:4,0.16
Acetes,chinensis,21.25,114.25,1211:114:1,0.13
Acetes,chinensis,21.75,114.75,1211:114:4,0.01
Acetes,chinensis,22.25,113.25,1211:123:1,0.19
Acetes,chinensis,22.25,113.75,1211:123:2,0.06
Acetes,chinensis,22.75,113.25,1211:123:3,0.06
Acetes,chinensis,22.25,114.25,1211:124:1,0.14
Acetes,chinensis,23.25,113.25,1211:133:1,0.08
Acetes,chinensis,23.25,113.75,1211:133:2,0.08
Acetes,chinensis,20.75,116.75,1211:206:4,0.07
Acetes,chinensis,20.75,117.25,1211:207:3,0.05
Acetes,chinensis,22.25,115.75,1211:225:2,0.19
Acetes,chinensis,22.25,116.75,1211:226:2,0.1
Acetes,chinensis,22.25,117.25,1211:227:1,0.17
Acetes,chinensis,22.25,117.75,1211:227:2,0.14
Acetes,chinensis,22.25,118.25,1211:228:1,0.09
Acetes,chinensis,22.25,118.75,1211:228:2,0.05
Acetes,chinensis,22.75,119.25,1211:229:3,0.11
Acetes,chinensis,23.25,119.75,1211:239:2,0.13
Acetes,chinensis,22.75,120.25,1212:120:3,0.04
Acetes,chinensis,22.75,120.75,1212:120:4,0.03
Acetes,chinensis,23.25,120.25,1212:130:1,0.12
Acetes,chinensis,23.25,121.25,1212:131:1,0.05
Acetes,chinensis,23.75,121.75,1212:131:4,0.04
Acetes,chinensis,24.25,121.75,1212:141:2,0.07
Acetes,chinensis,24.75,121.75,1212:141:4,0.19
Acetes,chinensis,24.25,122.75,1212:142:2,0.03
Acetes,chinensis,24.25,123.25,1212:143:1,0.06
Acetes,chinensis,24.25,123.75,1212:143:2,0.09
Acetes,chinensis,24.75,123.25,1212:143:3,0.06
Acetes,chinensis,24.25,124.25,1212:144:1,0.09
Acetes,chinensis,24.75,124.25,1212:144:3,0.1
Acetes,chinensis,24.75,124.75,1212:144:4,0.11
Acetes,chinensis,24.75,125.25,1212:245:3,0.12
Acetes,chinensis,24.75,125.75,1212:245:4,0.11
Acetes,chinensis,25.25,122.25,1212:352:1,0.19
Acetes,chinensis,25.75,123.75,1212:353:4,0.09
Acetes,chinensis,25.75,124.75,1212:354:4,0.1
Acetes,chinensis,26.75,122.25,1212:362:3,0.17
Acetes,chinensis,29.75,121.25,1212:391:3,0.19
Acetes,chinensis,29.25,123.25,1212:393:1,0.13
Acetes,chinensis,25.25,125.25,1212:455:1,0.12
Acetes,chinensis,25.25,125.75,1212:455:2,0.13
Acetes,chinensis,25.75,127.25,1212:457:3,0.01
Acetes,chinensis,26.25,126.75,1212:466:2,0.16
Acetes,chinensis,26.75,126.75,1212:466:4,0.17
Acetes,chinensis,26.25,127.25,1212:467:1,0.19
Acetes,chinensis,26.25,128.25,1212:468:1,0.18
Acetes,chinensis,29.75,125.25,1212:495:3,0.1
Acetes,chinensis,29.75,127.25,1212:497:3,0.03
Acetes,chinensis,24.75,131.25,1213:141:3,0.14
Acetes,chinensis,25.75,131.25,1213:351:3,0.19
Acetes,chinensis,24.25,141.75,1214:141:2,0.01
Acetes,chinensis,24.75,141.25,1214:141:3,0.01
Acetes,chinensis,25.25,141.25,1214:351:1,0.03
Acetes,chinensis,39.25,119.75,1311:499:2,0.09
Acetes,chinensis,30.75,120.75,1312:100:4,0.15
Acetes,chinensis,30.75,121.75,1312:101:4,0.13
Acetes,chinensis,30.25,124.25,1312:104:1,0.07
Acetes,chinensis,30.75,124.25,1312:104:3,0.15
Acetes,chinensis,30.75,124.75,1312:104:4,0.11
Acetes,chinensis,31.75,120.25,1312:110:3,0.18
Acetes,chinensis,32.25,120.25,1312:120:1,0.19
Acetes,chinensis,32.25,121.25,1312:121:1,0.08
Acetes,chinensis,32.75,124.75,1312:124:4,0.12
Acetes,chinensis,33.25,124.25,1312:134:1,0.12
Acetes,chinensis,31.25,125.75,1312:215:2,0.12
Acetes,chinensis,31.75,128.25,1312:218:3,0.15
Acetes,chinensis,39.25,120.75,1312:390:2,0.09
Acetes,chinensis,34.25,138.25,1313:248:1,0.09
Acetes,chinensis,37.25,131.75,1313:371:2,0.14
Acetes,chinensis,45.75,137.25,1413:457:3,0.11
Acetes,chinensis,43.25,144.25,1414:134:1,0.08
Acetes,chinensis,43.75,144.25,1414:134:3,0.03
Acetes,chinensis,43.75,144.75,1414:134:4,0.04
Acetes,chinensis,44.75,142.75,1414:142:4,0.12
Acetes,chinensis,44.25,143.25,1414:143:1,0.11
Acetes,chinensis,44.25,143.75,1414:143:2,0.02
Acetes,chinensis,44.75,143.25,1414:143:3,0.06
Acetes,chinensis,43.25,146.25,1414:236:1,0.19
Acetes,chinensis,43.25,146.75,1414:236:2,0.19
Acetes,chinensis,43.75,146.25,1414:236:3,0.15
Acetes,chinensis,43.75,146.75,1414:236:4,0.09
Acetes,chinensis,43.75,147.25,1414:237:3,0.07
Acetes,chinensis,44.25,146.25,1414:246:1,0.1
Acetes,chinensis,44.25,146.75,1414:246:2,0.06
Acetes,chinensis,44.75,146.75,1414:246:4,0.01
Acetes,chinensis,44.25,147.25,1414:247:1,0.02
Acetes,chinensis,44.75,147.25,1414:247:3,0.02
Acetes,chinensis,45.25,142.75,1414:352:2,0.09
Acetes,chinensis,45.75,142.25,1414:352:3,0.19
Acetes,chinensis,45.25,147.75,1414:457:2,0.01
Acetes,chinensis,19.75,110.75,1111:390:4,0.2
Acetes,chinensis,20.25,107.75,1210:207:2,0.2
Acetes,chinensis,20.75,107.25,1210:207:3,0.25
Acetes,chinensis,20.75,107.75,1210:207:4,0.25
Acetes,chinensis,20.75,108.25,1210:208:3,0.22
Acetes,chinensis,20.25,109.25,1210:209:1,0.2
Acetes,chinensis,20.25,109.75,1210:209:2,0.25
Acetes,chinensis,20.75,109.25,1210:209:3,0.22
Acetes,chinensis,20.75,109.75,1210:209:4,0.24
Acetes,chinensis,21.25,107.75,1210:217:2,0.29
Acetes,chinensis,21.75,107.75,1210:217:4,0.33
Acetes,chinensis,21.25,108.25,1210:218:1,0.27
Acetes,chinensis,21.25,108.75,1210:218:2,0.25
Acetes,chinensis,21.75,108.25,1210:218:3,0.3
Acetes,chinensis,21.75,108.75,1210:218:4,0.31
Acetes,chinensis,21.25,109.25,1210:219:1,0.25
Acetes,chinensis,21.25,109.75,1210:219:2,0.28
Acetes,chinensis,21.75,109.25,1210:219:3,0.33
Acetes,chinensis,21.75,109.75,1210:219:4,0.34
Acetes,chinensis,20.25,110.25,1211:100:1,0.29
Acetes,chinensis,20.25,110.75,1211:100:2,0.31
Acetes,chinensis,20.75,110.25,1211:100:3,0.28
Acetes,chinensis,20.75,110.75,1211:100:4,0.31
Acetes,chinensis,20.25,111.25,1211:101:1,0.2
Acetes,chinensis,20.75,111.25,1211:101:3,0.24
Acetes,chinensis,21.25,110.25,1211:110:1,0.31
Acetes,chinensis,21.25,110.75,1211:110:2,0.34
Acetes,chinensis,21.25,111.25,1211:111:1,0.33
Acetes,chinensis,21.25,111.75,1211:111:2,0.28
Acetes,chinensis,21.75,111.25,1211:111:3,0.36
Acetes,chinensis,21.75,111.75,1211:111:4,0.35
Acetes,chinensis,21.25,112.25,1211:112:1,0.24
Acetes,chinensis,21.25,112.75,1211:112:2,0.21
Acetes,chinensis,21.75,112.25,1211:112:3,0.34
Acetes,chinensis,21.75,112.75,1211:112:4,0.32
Acetes,chinensis,21.75,114.25,1211:114:3,0.25
Acetes,chinensis,22.75,113.75,1211:123:4,0.29
Acetes,chinensis,22.25,114.75,1211:124:2,0.3
Acetes,chinensis,22.75,114.25,1211:124:3,0.27
Acetes,chinensis,22.75,114.75,1211:124:4,0.28
Acetes,chinensis,22.25,115.25,1211:225:1,0.28
Acetes,chinensis,22.25,116.25,1211:226:1,0.22
Acetes,chinensis,22.75,116.75,1211:226:4,0.39
Acetes,chinensis,22.75,117.25,1211:227:3,0.34
Acetes,chinensis,22.75,117.75,1211:227:4,0.33
Acetes,chinensis,22.75,118.25,1211:228:3,0.29
Acetes,chinensis,22.75,118.75,1211:228:4,0.21
Acetes,chinensis,23.25,118.75,1211:238:2,0.39
Acetes,chinensis,23.25,119.25,1211:239:1,0.26
Acetes,chinensis,23.75,119.25,1211:239:3,0.36
Acetes,chinensis,23.75,119.75,1211:239:4,0.25
Acetes,chinensis,24.25,119.75,1211:249:2,0.33
Acetes,chinensis,23.75,120.25,1212:130:3,0.21
Acetes,chinensis,24.25,120.25,1212:140:1,0.31
Acetes,chinensis,24.25,120.75,1212:140:2,0.25
Acetes,chinensis,24.75,120.75,1212:140:4,0.37
Acetes,chinensis,25.25,121.75,1212:351:2,0.35
Acetes,chinensis,25.75,121.75,1212:351:4,0.38
Acetes,chinensis,25.75,122.25,1212:352:3,0.24
Acetes,chinensis,26.25,121.25,1212:361:1,0.24
Acetes,chinensis,26.25,121.75,1212:361:2,0.32
Acetes,chinensis,26.25,122.25,1212:362:1,0.3
Acetes,chinensis,26.75,122.75,1212:362:4,0.34
Acetes,chinensis,28.25,120.75,1212:380:2,0.2
Acetes,chinensis,29.75,124.25,1212:394:3,0.38
Acetes,chinensis,26.25,127.75,1212:467:2,0.2
